Month,total_revenue,MoM_growth_percent
2016-10,47271.19999999999,
2016-12,19.62,-99.95849481290934
2017-01,127545.6699999999,649979.8674821606
2017-02,271298.6499999992,112.70706406575735
2017-03,414369.38999999984,52.73551490212025
2017-04,390952.1800000005,-5.651288576117874
2017-05,566872.730000003,44.99797136314785
2017-06,490225.600000003,-13.521047308096756
2017-07,566403.9300000028,15.53944347255618
2017-08,646000.6100000001,14.052988650696129
2017-09,701169.9900000013,8.540143638564235
2017-10,751140.2699999996,7.126699760780997
2017-11,1153393.2199999972,53.55230787985816
2017-12,843199.170000002,-26.894041392058465
2018-01,1078606.8600000031,27.918396788744527
2018-02,966554.9700000021,-10.388575685491263
2018-03,1120677.9999999993,15.945604211211805
2018-04,1132933.9499999923,1.093619219793096
2018-05,1128836.6899999972,-0.3616503857082898
2018-06,1011561.3499999953,-10.389043963480859
2018-07,1027383.0999999999,1.564091985128191
2018-08,985414.2800000025,-4.085021449155368
